en_original;bg_original;cs_original;da_original;de_original;el_original;es_original;et_original;fi_original;fr_original;hr_original;hu_original;it_original;lt_original;lv_original;mt_original;nl_original;pl_original;pt_original;ro_original;sk_original;sl_original;sv_original;no_original;is_original
plant protection product;продукт за растителна защита;rostlinný ochranný prostředek;plantebeskyttelsesmiddel;Pflanzenschutzmittel;προϊόν φυτοπροστασίας;producto fitosanitario;taimekaitsevahend;kasvinsuojeluaine;produit phytopharmaceutique;sredstvo za zaštitu bilja;növényvédelmi termék;prodotto fitosanitario;augalų apsaugos produktas;augu aizsardzības līdzeklis;prodott għall-protezzjoni tal-pjanti;gewasbeschermingsmiddel;produkt ochrony roślin;produto de proteção de plantas;produs de protecție a plantelor;prostriedok na ochranu rastlín;fitofarmacevtsko sredstvo;växtskyddsmedel;plantevernmiddel;plöntuverndarvara
polymer;полимер;polymer;polymer;Polymer;πολυμερές;polímero;polümeer;polymeeri;polymère;polimer;polimer;polimero;polimeras;polimērs;polimeru;polymeer;polimer;polímero;polimer;polymér;polimer;polymer;polymer;fjölliða
pre-registration;предварителна регистрация;předběžná registrace;forregistrering;Vorregistrierung;προκαταρκτική καταχώριση;pre-registro;eelregistreerimine;ennakkorekisteröinti;pré-enregistrement;predregistracija;előzetes regisztráció;pre-registrazione;išankstinė registracija;iepriekšēja reģistrācija;pre-reġistrazzjoni;voorregistratie;wstępna rejestracja;pré-registo;preînregistrare;predregistrácia;predregistracija;förregistrering;forhåndsregistrering;forskráning
article producer;производител на изделие;výrobce předmětu;artikelproducent;Artikelhersteller;παραγωγός αντικειμένων;productor de artículo;artikli tootja;esineen valmistaja;producteur d'article;proizvođač predmeta;cikkgyártó;produttore di articoli;gaminio gamintojas;izstrādājuma ražotājs;produttur tal-artiklu;artikelproducent;producent wyrobu;produtor de artigo;producător de articole;výrobca výrobkov;proizvajalec izdelkov;artikelproducent;artikkelprodusent;framleiðandi greinar
product and process orientated research and development;изследвания и развитие, ориентирани към продукти и процеси;výzkum a vývoj zaměřený na produkt a proces;produkt- og procesorienteret forskning og udvikling;Produkt- und prozessorientierte Forschung und Entwicklung;έρευνα και ανάπτυξη προσανατολισμένη σε προϊόντα και διαδικασίες;investigación y desarrollo orientados a productos y procesos;toote- ja protsessikeskne teadus- ja arendustegevus;tuote- ja prosessisuuntautunut tutkimus ja kehitys;recherche et développement orientés produit et procédé;istraživanje i razvoj usmjereni na proizvod i proces;termék- és folyamat-orientált kutatás és fejlesztés;ricerca e sviluppo orientati al prodotto e al processo;produkto ir proceso orientuotas mokslinių tyrimų ir plėtros darbas;produkta un procesa orientēti pētījumi un izstrāde;riċerka u żvilupp orjentati lejn il-prodott u l-proċess;product- en procesgeoriënteerd onderzoek en ontwikkeling;badania i rozwój zorientowane na produkt i proces;investigação e desenvolvimento orientados para o produto e o processo;cercetare și dezvoltare orientată spre produs și proces;výskum a vývoj orientovaný na produkt a proces;raziskave in razvoj, usmerjene v proizvod in proces;produkt- och processinriktad forskning och utveckling;produkt- og prosessorientert forskning og utvikling;vöru- og ferlaáhersluð rannsókn og þróun
predicted environmental concentration;предсказана концентрация в околната среда;předpokládaná koncentrace v životním prostředí;forudsagt miljøkoncentration;Prognostizierte Umweltkonzentration;προβλεπόμενη περιβαλλοντική συγκέντρωση;concentración ambiental prevista;ennustatud keskkonnakontsentratsioon;ennustettu ympäristöpitoisuus;concentration environnementale prédite;predviđena koncentracija u okolišu;becsült környezeti koncentráció;concentrazione ambientale prevista;prognozuojama aplinkos koncentracija;prognozētā vides koncentrācija;konċentrazzjoni ambjentali mbassra;voorspelde milieugeconcentratie;przewidywane stężenie środowiskowe;concentração ambiental prevista;concentrație prevăzută în mediu;predpokladaná environmentálna koncentrácia;napovedana koncentracija v okolju;förutsedd miljökoncentration;forutsatt miljøkonsentrasjon;spáð umhverfismagn
predicted no-effect concentration;предсказана концентрация без ефект;předpokládaná koncentrace bez účinku;forudsagt ingen-effekt koncentration;Prognostizierte Nicht-Effekt-Konzentration;προβλεπόμενη συγκέντρωση χωρίς επίδραση;concentración sin efecto prevista;ennustatud mittetoime kontsentratsioon;ennustettu haitaton pitoisuus;concentration prédite sans effet;predviđena koncentracija bez učinka;becsült hatásmentes koncentráció;concentrazione prevista senza effetto;prognozuojama nepavojinga koncentracija;prognozētā nekaitīgā koncentrācija;konċentrazzjoni mbassra mingħajr effett;voorspelde concentratie zonder effect;przewidywane stężenie niepowodujące efektów;concentração prevista sem efeito;concentrație prevăzută fără efect;predpokladaná koncentrácia bez účinku;napovedana koncentracija brez učinka;förutsedd nolleffektkoncentration;forutsatt ingen-effekt konsentrasjon;spáð áhrifalaust magn
quantitative structure-activity relationship;количествена връзка структура-активност;kvantitativní vztah struktura-aktivita;kvantitativ struktur-aktivitetsforhold;Quantitative Struktur-Wirkungs-Beziehung;ποσοτική σχέση δομής-δραστηριότητας;relación cuantitativa estructura-actividad;kvantitatiivne struktuuri-aktiivsuse seos;kvantitatiivinen rakenne-aktiivisuussuhde;relation quantitative structure-activité;kvantitativni odnos strukture i aktivnosti;kvantitatív szerkezet-aktivitás összefüggés;relazione quantitativa struttura-attività;kiekybinis struktūros ir aktyvumo ryšys;kvantitatīvā struktūras-aktivitātes attiecība;relazzjoni kwantitattiva struttura-attività;kwantitatieve structuur-activiteitsrelatie;ilościowa zależność struktura-aktywność;relação quantitativa estrutura-atividade;relație cantitativă structură-activitate;kvantitatívny vzťah štruktúra-aktivita;kvantitativno razmerje med strukturo in aktivnostjo;kvantitativ struktur-aktivitetsrelation;kvantitativ struktur-aktivitet forhold;megindleg uppbygging-virkni samband
REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH;REACH
REACH implementation project;проект за прилагане на REACH;projekt implementace REACH;REACH-gennemførelsesprojekt;REACH-Umsetzungsprojekt;έργο υλοποίησης REACH;proyecto de implementación de REACH;REACH rakendamise projekt;REACH-toteutusprojekti;projet de mise en œuvre de REACH;projekt provedbe REACH-a;REACH végrehajtási projekt;progetto di attuazione REACH;REACH įgyvendinimo projektas;REACH īstenošanas projekts;proġett ta' implimentazzjoni REACH;REACH-implementatieproject;projekt wdrożeniowy REACH;projeto de implementação do REACH;proiect de implementare REACH;projekt implementácie REACH;projekt izvajanja REACH;REACH-implementeringsprojekt;REACH implementeringsprosjekt;REACH framkvæmdaverkefni
research and development;изследвания и развитие;výzkum a vývoj;forskning og udvikling;Forschung und Entwicklung;έρευνα και ανάπτυξη;investigación y desarrollo;teadus- ja arendustegevus;tutkimus ja kehitys;recherche et développement;istraživanje i razvoj;kutatás és fejlesztés;ricerca e sviluppo;moksliniai tyrimai ir plėtra;pētījumi un izstrāde;riċerka u żvilupp;onderzoek en ontwikkeling;badania i rozwój;investigação e desenvolvimento;cercetare și dezvoltare;výskum a vývoj;raziskave in razvoj;forskning och utveckling;forskning og utvikling;rannsóknir og þróun
risk characterisation ratio;коефициент на характеризиране на риска;poměr charakterizace rizika;risikokarakteriseringsforhold;Risikobewertungsquotient;αναλογία χαρακτηρισμού κινδύνου;relación de caracterización del riesgo;riskikarakteristikute suhe;riskin luonnehdintasuhde;rapport de caractérisation du risque;omjer karakterizacije rizika;kockázatjellemzési arány;rapporto di caratterizzazione del rischio;rizikos charakterizavimo santykis;riska raksturojuma attiecība;proporzjon ta' karatterizzazzjoni tar-riskju;risicokarakteriseringsratio;wskaźnik charakteryzacji ryzyka;relação de caracterização de risco;raport de caracterizare a riscului;pomerné vyhodnotenie rizika;razmerje za karakterizacijo tveganja;riskkarakteriseringskvot;risikokarakteriseringsforhold;áhættuhlutfall
R-phrases;R-фрази;R-věty;R-sætninger;R-Sätze;φράσεις R;frases R;R-laused;R-lausekkeet;phrases R;R-izjave;R-mondatok;frasi R;R-frazės;R-frāzes;R-frażijiet;R-zinnen;zwroty R;frases R;fraze R;R-vety;R-stavki;R-fraser;R-setninger;R-setningar
reaction mass;реакционна маса;reakční směs;reaktionsmasse;Reaktionsmasse;μίγμα αντίδρασης;masa de reacción;reaktsioonimass;reaktiomassa;masse de réaction;reakcijska masa;reakciótömeg;miscela di reazione;reakcijos masė;reakcijas masa;massa ta' reazzjoni;reactiemassa;masa reakcyjna;massa de reação;masă de reacție;reakčná zmes;reakcijska masa;reaktionsmassa;reaksjonsmasse;viðbragðsmassi
recipient of a substance or a preparation;получател на вещество или препарат;příjemce látky nebo přípravku;modtager af et stof eller en blanding;Empfänger eines Stoffes oder einer Zubereitung;παραλήπτης μιας ουσίας ή ενός παρασκευάσματος;receptor de una sustancia o una preparación;aine või preparaadi saaja;aineen tai valmisteen vastaanottaja;destinataire d'une substance ou d'une préparation;primatelj tvari ili pripravka;anyag vagy készítmény átvevője;destinatario di una sostanza o di una preparazione;medžiagos ar preparato gavėjas;vielas vai preparāta saņēmējs;riċevitur ta' sustanza jew preparazzjoni;ontvanger van een stof of een preparaat;odbiorca substancji lub preparatu;destinatário de uma substância ou preparação;destinatar al unei substanțe sau al unei preparate;príjemca látky alebo prípravku;prejemnik snovi ali pripravka;mottagare av ett ämne eller en beredning;mottaker av et stoff eller en blanding;viðtakandi efnis eða blöndu
recipient of an article;получател на изделие;příjemce předmětu;modtager af en artikel;Empfänger eines Erzeugnisses;παραλήπτης ενός αντικειμένου;receptor de un artículo;toote saaja;esineen vastaanottaja;destinataire d'un article;primatelj predmeta;tárgy átvevője;destinatario di un articolo;gaminio gavėjas;izstrādājuma saņēmējs;riċevitur ta' artiklu;ontvanger van een voorwerp;odbiorca wyrobu;destinatário de um artigo;destinatar al unui articol;príjemca výrobku;prejemnik izdelka;mottagare av en artikel;mottaker av en gjenstand;viðtakandi hlutar
registrant;регистрант;registrant;registrant;Registrant;καταχωρίζων;registrante;registreerija;rekisteröijä;déclarant;registrant;regisztráló;registrante;registrantas;reģistrētājs;reġistrant;registrant;rejestrujący;registrante;înregistrant;registrujúci;registrant;registrant;registrant;skráningaraðili
registrant's own use;собствено използване на регистранта;vlastní použití registranta;registrantens egen anvendelse;Eigenverwendung des Registranten;ίδια χρήση του καταχωρίζοντος;uso propio del registrante;registreerija enda kasutus;rekisteröijän oma käyttö;utilisation propre du déclarant;vlastita uporaba registranta;regisztráló saját felhasználása;uso proprio del registrante;registranto nuosavas naudojimas;reģistrētāja paša lietojums;użu proprju tar-reġistrant;eigen gebruik van de registrant;własne zastosowanie rejestrującego;uso próprio do registrante;utilizarea proprie a înregistrantului;vlastné použitie registrujúceho;lastna uporaba registranta;registrantens egen användning;registrantens egen bruk;eigin notkun skráningaraðila
